PassengerId,SibSp,Parch,Ticket,Fare,Cabin,Embarked
84,0,0,113059,47.1,,S
85,0,0,SO/C 14885,10.5,,S
86,3,0,3101278,15.85,,S
87,1,3,W./C. 6608,34.375,,S
88,0,0,SOTON/OQ 392086,8.05,,S
89,3,2,19950,263.0,C23 C25 C27,S
90,0,0,343275,8.05,,S
92,0,0,347466,7.8542,,S
93,1,0,W.E.P. 5734,61.175,E31,S
94,1,2,C.A. 2315,20.575,,S
95,0,0,364500,7.25,,S
96,0,0,374910,8.05,,S
97,0,0,PC 17754,34.6542,A5,C
98,0,1,PC 17759,63.3583,D10 D12,C
100,1,0,244367,26.0,,S
103,0,1,35281,77.2875,D26,S
104,0,0,7540,8.6542,,S
106,0,0,349207,7.8958,,S
108,0,0,312991,7.775,,S
109,0,0,349249,7.8958,,S
110,1,0,371110,24.15,,Q
111,0,0,110465,52.0,C110,S
112,1,0,2665,14.4542,,C
113,0,0,324669,8.05,,S
115,0,0,2627,14.4583,,C
116,0,0,STON/O 2. 3101294,7.925,,S
119,0,1,PC 17558,247.5208,B58 B60,C
120,4,2,347082,31.275,,S
122,0,0,A4. 54510,8.05,,S
124,0,0,27267,13.0,E101,S
126,1,0,2651,11.2417,,C
127,0,0,370372,7.75,,Q
129,1,1,2668,22.3583,F E69,C
132,0,0,SOTON/O.Q. 3101307,7.05,,S
133,1,0,A/5. 3337,14.5,,S
134,1,0,228414,26.0,,S
135,0,0,C.A. 29178,13.0,,S
136,0,0,SC/PARIS 2133,15.0458,,C
137,0,2,11752,26.2833,D47,S
138,1,0,113803,53.1,C123,S
139,0,0,7534,9.2167,,S
142,0,0,347081,7.75,,S
143,1,0,STON/O2. 3101279,15.85,,S
144,0,0,365222,6.75,,Q
145,0,0,231945,11.5,,S
146,1,1,C.A. 33112,36.75,,S
147,0,0,350043,7.7958,,S
152,1,0,113776,66.6,C2,S
153,0,0,A.5. 11206,8.05,,S
154,0,2,A/5. 851,14.5,,S
155,0,0,Fa 265302,7.3125,,S
156,0,1,PC 17597,61.3792,,C
157,0,0,35851,7.7333,,Q
158,0,0,SOTON/OQ 392090,8.05,,S
159,0,0,315037,8.6625,,S
160,8,2,CA. 2343,69.55,,S
161,0,1,371362,16.1,,S
163,0,0,347068,7.775,,S
164,0,0,315093,8.6625,,S
165,4,1,3101295,39.6875,,S
166,0,2,363291,20.525,,S
168,1,4,347088,27.9,,S
170,0,0,1601,56.4958,,S
171,0,0,111240,33.5,B19,S
172,4,1,382652,29.125,,Q
173,1,1,347742,11.1333,,S
174,0,0,STON/O 2. 3101280,7.925,,S
175,0,0,17764,30.6958,A7,C
176,1,1,350404,7.8542,,S
177,3,1,4133,25.4667,,S
179,0,0,250653,13.0,,S
180,0,0,LINE,0.0,,S
182,0,0,SC/PARIS 2131,15.05,,C
183,4,2,347077,31.3875,,S
184,2,1,230136,39.0,F4,S
185,0,2,315153,22.025,,S
186,0,0,113767,50.0,A32,S
188,0,0,111428,26.55,,S
189,1,1,364849,15.5,,Q
190,0,0,349247,7.8958,,S
192,0,0,28424,13.0,,S
193,1,0,350046,7.8542,,S
194,1,1,230080,26.0,F2,S
195,0,0,PC 17610,27.7208,B4,C
196,0,0,PC 17569,146.5208,B80,C
197,0,0,368703,7.75,,Q
198,0,1,4579,8.4042,,S
199,0,0,370370,7.75,,Q
200,0,0,248747,13.0,,S
203,0,0,3101264,6.4958,,S
204,0,0,2628,7.225,,C
205,0,0,A/5 3540,8.05,,S
206,0,1,347054,10.4625,G6,S
207,1,0,3101278,15.85,,S
208,0,0,2699,18.7875,,C
210,0,0,112277,31.0,A31,C
212,0,0,F.C.C. 13528,21.0,,S
213,0,0,A/5 21174,7.25,,S
214,0,0,250646,13.0,,S
216,1,0,35273,113.275,D36,C
217,0,0,STON/O2. 3101283,7.925,,S
219,0,0,11813,76.2917,D15,C
220,0,0,W/C 14208,10.5,,S
221,0,0,SOTON/OQ 392089,8.05,,S
222,0,0,220367,13.0,,S
223,0,0,21440,8.05,,S
224,0,0,349234,7.8958,,S
225,1,0,19943,90.0,C93,S
226,0,0,PP 4348,9.35,,S
227,0,0,SW/PP 751,10.5,,S
229,0,0,236171,13.0,,S
230,3,1,4133,25.4667,,S
231,1,0,36973,83.475,C83,S
232,0,0,347067,7.775,,S
233,0,0,237442,13.5,,S
235,0,0,C.A. 29566,10.5,,S
236,0,0,W./C. 6609,7.55,,S
237,1,0,26707,26.0,,S
239,0,0,28665,10.5,,S
241,1,0,2665,14.4542,,C
242,1,0,367230,15.5,,Q
244,0,0,STON/O 2. 3101275,7.125,,S
245,0,0,2694,7.225,,C
246,2,0,19928,90.0,C78,Q
248,0,2,250649,14.5,,S
249,1,1,11751,52.5542,D35,S
250,1,0,244252,26.0,,S
251,0,0,362316,7.25,,S
252,1,1,347054,10.4625,G6,S
254,1,0,A/5. 3336,16.1,,S
255,0,2,370129,20.2125,,S
256,0,2,2650,15.2458,,C
257,0,0,PC 17585,79.2,,C
258,0,0,110152,86.5,B77,S
260,0,1,230433,26.0,,S
261,0,0,384461,7.75,,Q
262,4,2,347077,31.3875,,S
263,1,1,110413,79.65,E67,S
264,0,0,112059,0.0,B94,S
265,0,0,382649,7.75,,Q
266,0,0,C.A. 17248,10.5,,S
267,4,1,3101295,39.6875,,S
268,1,0,347083,7.775,,S
269,0,1,PC 17582,153.4625,C125,S
270,0,0,PC 17760,135.6333,C99,S
271,0,0,113798,31.0,,S
273,0,1,250644,19.5,,S
274,0,1,PC 17596,29.7,C118,C
276,1,0,13502,77.9583,D7,S
277,0,0,347073,7.75,,S
278,0,0,239853,0.0,,S
279,4,1,382652,29.125,,Q
281,0,0,336439,7.75,,Q
283,0,0,345778,9.5,,S
284,0,0,A/5. 10482,8.05,,S
285,0,0,113056,26.0,A19,S
286,0,0,349239,8.6625,,C
287,0,0,345774,9.5,,S
288,0,0,349206,7.8958,,S
289,0,0,237798,13.0,,S
290,0,0,370373,7.75,,Q
292,1,0,11967,91.0792,B49,C
293,0,0,SC/Paris 2163,12.875,D,C
294,0,0,349236,8.85,,S
296,0,0,PC 17612,27.7208,,C
297,0,0,2693,7.2292,,C
298,1,2,113781,151.55,C22 C26,S
299,0,0,19988,30.5,C106,S
300,0,1,PC 17558,247.5208,B58 B60,C
301,0,0,9234,7.75,,Q
302,2,0,367226,23.25,,Q
303,0,0,LINE,0.0,,S
304,0,0,226593,12.35,E101,Q
305,0,0,A/5 2466,8.05,,S
306,1,2,113781,151.55,C22 C26,S
307,0,0,17421,110.8833,,C
309,1,0,P/PP 3381,24.0,,C
310,0,0,PC 17485,56.9292,E36,C
311,0,0,11767,83.1583,C54,C
312,2,2,PC 17608,262.375,B57 B59 B63 B66,C
314,0,0,349243,7.8958,,S
315,1,1,F.C.C. 13529,26.25,,S
316,0,0,347470,7.8542,,S
319,0,2,36928,164.8667,C7,S
320,1,1,16966,134.5,E34,C
322,0,0,349219,7.8958,,S
323,0,0,234818,12.35,,Q
324,1,1,248738,29.0,,S
325,8,2,CA. 2343,69.55,,S
326,0,0,PC 17760,135.6333,C32,C
327,0,0,345364,6.2375,,S
328,0,0,28551,13.0,D,S
329,1,1,363291,20.525,,S
330,0,1,111361,57.9792,B18,C
331,2,0,367226,23.25,,Q
332,0,0,113043,28.5,C124,S
333,0,1,PC 17582,153.4625,C91,S
334,2,0,345764,18.0,,S
335,1,0,PC 17611,133.65,,S
336,0,0,349225,7.8958,,S
338,0,0,16966,134.5,E40,C
339,0,0,7598,8.05,,S
340,0,0,113784,35.5,T,S
341,1,1,230080,26.0,F2,S
342,3,2,19950,263.0,C23 C25 C27,S
343,0,0,248740,13.0,,S
344,0,0,244361,13.0,,S
345,0,0,229236,13.0,,S
347,0,0,31418,13.0,,S
349,1,1,C.A. 37671,15.9,,S
350,0,0,315088,8.6625,,S
351,0,0,7267,9.225,,S
353,1,1,2695,7.2292,,C
354,1,0,349237,17.8,,S
355,0,0,2647,7.225,,C
356,0,0,345783,9.5,,S
357,0,1,113505,55.0,E33,S
360,0,0,330980,7.8792,,Q
362,1,0,SC/PARIS 2167,27.7208,,C
363,0,1,2691,14.4542,,C
364,0,0,SOTON/O.Q. 3101310,7.05,,S
365,1,0,370365,15.5,,Q
366,0,0,C 7076,7.25,,S
367,1,0,110813,75.25,D37,C
368,0,0,2626,7.2292,,C
369,0,0,14313,7.75,,Q
370,0,0,PC 17477,69.3,B35,C
371,1,0,11765,55.4417,E50,C
372,1,0,3101267,6.4958,,S
373,0,0,323951,8.05,,S
374,0,0,PC 17760,135.6333,,C
375,3,1,349909,21.075,,S
376,1,0,PC 17604,82.1708,,C
379,0,0,2648,4.0125,,C
380,0,0,347069,7.775,,S
381,0,0,PC 17757,227.525,,C
382,0,2,2653,15.7417,,C
383,0,0,STON/O 2. 3101293,7.925,,S
384,1,0,113789,52.0,,S
385,0,0,349227,7.8958,,S
386,0,0,S.O.C. 14879,73.5,,S
387,5,2,CA 2144,46.9,,S
388,0,0,27849,13.0,,S
389,0,0,367655,7.7292,,Q
390,0,0,SC 1748,12.0,,C
391,1,2,113760,120.0,B96 B98,S
392,0,0,350034,7.7958,,S
393,2,0,3101277,7.925,,S
394,1,0,35273,113.275,D36,C
397,0,0,350407,7.8542,,S
398,0,0,28403,26.0,,S
399,0,0,244278,10.5,,S
400,0,0,240929,12.65,,S
401,0,0,STON/O 2. 3101289,7.925,,S
402,0,0,341826,8.05,,S
403,1,0,4137,9.825,,S
404,1,0,STON/O2. 3101279,15.85,,S
405,0,0,315096,8.6625,,S
408,1,1,29106,18.75,,S
409,0,0,312992,7.775,,S
410,3,1,4133,25.4667,,S
411,0,0,349222,7.8958,,S
413,1,0,19928,90.0,C78,Q
414,0,0,239853,0.0,,S
415,0,0,STON/O 2. 3101269,7.925,,S
416,0,0,343095,8.05,,S
418,0,2,250652,13.0,,S
419,0,0,28228,13.0,,S
420,0,2,345773,24.15,,S
421,0,0,349254,7.8958,,C
422,0,0,A/5. 13032,7.7333,,Q
423,0,0,315082,7.875,,S
424,1,1,347080,14.4,,S
425,1,1,370129,20.2125,,S
426,0,0,A/4. 34244,7.25,,S
427,1,0,2003,26.0,,S
428,0,0,250655,26.0,,S
429,0,0,364851,7.75,,Q
430,0,0,SOTON/O.Q. 392078,8.05,E10,S
431,0,0,110564,26.55,C52,S
432,1,0,376564,16.1,,S
433,1,0,SC/AH 3085,26.0,,S
434,0,0,STON/O 2. 3101274,7.125,,S
435,1,0,13507,55.9,E44,S
436,1,2,113760,120.0,B96 B98,S
437,2,2,W./C. 6608,34.375,,S
438,2,3,29106,18.75,,S
439,1,4,19950,263.0,C23 C25 C27,S
440,0,0,C.A. 18723,10.5,,S
441,1,1,F.C.C. 13529,26.25,,S
442,0,0,345769,9.5,,S
443,1,0,347076,7.775,,S
445,0,0,65306,8.1125,,S
446,0,2,33638,81.8583,A34,S
447,0,1,250644,19.5,,S
449,2,1,2666,19.2583,,C
450,0,0,113786,30.5,C104,S
451,1,2,C.A. 34651,27.75,,S
453,0,0,113051,27.75,C111,C
454,1,0,17453,89.1042,C92,C
455,0,0,A/5 2817,8.05,,S
456,0,0,349240,7.8958,,C
457,0,0,13509,26.55,E38,S
458,1,0,17464,51.8625,D21,S
459,0,0,F.C.C. 13531,10.5,,S
460,0,0,371060,7.75,,Q
464,0,0,234360,13.0,,S
465,0,0,A/S 2816,8.05,,S
466,0,0,SOTON/O.Q. 3101306,7.05,,S
467,0,0,239853,0.0,,S
468,0,0,113792,26.55,,S
469,0,0,36209,7.725,,Q
471,0,0,323592,7.25,,S
472,0,0,315089,8.6625,,S
473,1,2,C.A. 34651,27.75,,S
474,0,0,SC/AH Basle 541,13.7917,D,C
475,0,0,7553,9.8375,,S
476,0,0,110465,52.0,A14,S
477,1,0,31027,21.0,,S
478,1,0,3460,7.0458,,S
479,0,0,350060,7.5208,,S
480,0,1,3101298,12.2875,,S
481,5,2,CA 2144,46.9,,S
485,1,0,11967,91.0792,B49,C
488,0,0,11771,29.7,B37,C
489,0,0,A.5. 18509,8.05,,S
490,1,1,C.A. 37671,15.9,,S
491,1,0,65304,19.9667,,S
493,0,0,113787,30.5,C30,S
494,0,0,PC 17609,49.5042,,C
495,0,0,A/4 45380,8.05,,S
496,0,0,2627,14.4583,,C
497,1,0,36947,78.2667,D20,C
498,0,0,C.A. 6212,15.1,,S
499,1,2,113781,151.55,C22 C26,S
500,0,0,350035,7.7958,,S
501,0,0,315086,8.6625,,S
502,0,0,364846,7.75,,Q
504,0,0,4135,9.5875,,S
507,0,2,26360,26.0,,S
508,0,0,111427,26.55,,S
509,0,0,C 4001,22.525,,S
510,0,0,1601,56.4958,,S
511,0,0,382651,7.75,,Q
512,0,0,SOTON/OQ 3101316,8.05,,S
513,0,0,PC 17473,26.2875,E25,S
514,1,0,PC 17603,59.4,,C
515,0,0,349209,7.4958,,S
516,0,0,36967,34.0208,D46,S
517,0,0,C.A. 34260,10.5,F33,S
518,0,0,371110,24.15,,Q
519,1,0,226875,26.0,,S
520,0,0,349242,7.8958,,S
521,0,0,12749,93.5,B73,S
522,0,0,349252,7.8958,,S
523,0,0,2624,7.225,,C
524,0,1,111361,57.9792,B18,C
526,0,0,367232,7.75,,Q
527,0,0,W./C. 14258,10.5,,S
528,0,0,PC 17483,221.7792,C95,S
529,0,0,3101296,7.925,,S
530,2,1,29104,11.5,,S
531,1,1,26360,26.0,,S
532,0,0,2641,7.2292,,C
533,1,1,2690,7.2292,,C
535,0,0,315084,8.6625,,S
536,0,2,F.C.C. 13529,26.25,,S
537,0,0,113050,26.55,B38,S
538,0,0,PC 17761,106.425,,C
539,0,0,364498,14.5,,S
540,0,2,13568,49.5,B39,C
541,0,2,WE/P 5735,71.0,B22,S
542,4,2,347082,31.275,,S
543,4,2,347082,31.275,,S
544,1,0,2908,26.0,,S
545,1,0,PC 17761,106.425,C86,C
548,0,0,SC/PARIS 2146,13.8625,,C
549,1,1,363291,20.525,,S
551,0,2,17421,110.8833,C70,C
552,0,0,244358,26.0,,S
553,0,0,330979,7.8292,,Q
555,0,0,347085,7.775,,S
556,0,0,113807,26.55,,S
557,1,0,11755,39.6,A16,C
558,0,0,PC 17757,227.525,,C
559,1,1,110413,79.65,E67,S
560,1,0,345572,17.4,,S
561,0,0,372622,7.75,,Q
562,0,0,349251,7.8958,,S
565,0,0,SOTON/O.Q. 392087,8.05,,S
566,2,0,A/4 48871,24.15,,S
567,0,0,349205,7.8958,,S
568,0,4,349909,21.075,,S
570,0,0,350417,7.8542,,S
571,0,0,S.W./PP 752,10.5,,S
572,2,0,11769,51.4792,C101,S
573,0,0,PC 17474,26.3875,E25,S
574,0,0,14312,7.75,,Q
575,0,0,A/4. 20589,8.05,,S
576,0,0,358585,14.5,,S
577,0,0,243880,13.0,,S
579,1,0,2689,14.4583,,C
580,0,0,STON/O 2. 3101286,7.925,,S
581,1,1,237789,30.0,,S
582,1,1,17421,110.8833,C68,C
583,0,0,28403,26.0,,S
584,0,0,13049,40.125,A10,C
585,0,0,3411,8.7125,,C
590,0,0,A./5. 3235,8.05,,S
591,0,0,STON/O 2. 3101273,7.125,,S
592,1,0,36947,78.2667,D20,C
593,0,0,A/5 3902,7.25,,S
594,0,2,364848,7.75,,Q
595,1,0,SC/AH 29037,26.0,,S
596,1,1,345773,24.15,,S
597,0,0,248727,33.0,,S
599,0,0,2664,7.225,,C
600,1,0,PC 17485,56.9292,A20,C
601,2,1,243847,27.0,,S
602,0,0,349214,7.8958,,S
603,0,0,113796,42.4,,S
604,0,0,364511,8.05,,S
605,0,0,111426,26.55,,C
606,1,0,349910,15.55,,S
607,0,0,349246,7.8958,,S
608,0,0,113804,30.5,,S
609,1,2,SC/Paris 2123,41.5792,,C
610,0,0,PC 17582,153.4625,C125,S
611,1,5,347082,31.275,,S
612,0,0,SOTON/O.Q. 3101305,7.05,,S
613,1,0,367230,15.5,,Q
614,0,0,370377,7.75,,Q
616,1,2,220845,65.0,,S
617,1,1,347080,14.4,,S
618,1,0,A/5. 3336,16.1,,S
619,2,1,230136,39.0,F4,S
621,1,0,2659,14.4542,,C
622,1,0,11753,52.5542,D19,S
623,1,1,2653,15.7417,,C
625,0,0,54636,16.1,,S
627,0,0,219533,12.35,,Q
628,0,0,13502,77.9583,D9,S
629,0,0,349224,7.8958,,S
630,0,0,334912,7.7333,,Q
631,0,0,27042,30.0,A23,S
632,0,0,347743,7.0542,,S
633,0,0,13214,30.5,B50,C
634,0,0,112052,0.0,,S
635,3,2,347088,27.9,,S
636,0,0,237668,13.0,,S
637,0,0,STON/O 2. 3101292,7.925,,S
639,0,5,3101295,39.6875,,S
640,1,0,376564,16.1,,S
642,0,0,PC 17477,69.3,B35,C
643,3,2,347088,27.9,,S
644,0,0,1601,56.4958,,S
645,2,1,2666,19.2583,,C
646,1,0,PC 17572,76.7292,D33,C
648,0,0,13213,35.5,A26,C
649,0,0,S.O./P.P. 751,7.55,,S
650,0,0,CA. 2314,7.55,,S
652,0,1,231919,23.0,,S
654,0,0,330919,7.8292,,Q
655,0,0,365226,6.75,,Q
656,2,0,S.O.C. 14879,73.5,,S
658,1,1,364849,15.5,,Q
659,0,0,29751,13.0,,S
660,0,2,35273,113.275,D48,C
661,2,0,PC 17611,133.65,,S
662,0,0,2623,7.225,,C
664,0,0,349210,7.4958,,S
665,1,0,STON/O 2. 3101285,7.925,,S
666,2,0,S.O.C. 14879,73.5,,S
667,0,0,234686,13.0,,S
668,0,0,312993,7.775,,S
669,0,0,A/5 3536,8.05,,S
670,1,0,19996,52.0,C126,S
671,1,1,29750,39.0,,S
672,1,0,F.C. 12750,52.0,B71,S
673,0,0,C.A. 24580,10.5,,S
674,0,0,244270,13.0,,S
675,0,0,239856,0.0,,S
676,0,0,349912,7.775,,S
677,0,0,342826,8.05,,S
678,0,0,4138,9.8417,,S
680,0,1,PC 17755,512.3292,B51 B53 B55,C
681,0,0,330935,8.1375,,Q
682,0,0,PC 17572,76.7292,D49,C
684,5,2,CA 2144,46.9,,S
685,1,1,29750,39.0,,S
686,1,2,SC/Paris 2123,41.5792,,C
687,4,1,3101295,39.6875,,S
688,0,0,349228,10.1708,,S
689,0,0,350036,7.7958,,S
690,0,1,24160,211.3375,B5,S
691,1,0,17474,57.0,B20,S
692,0,1,349256,13.4167,,C
693,0,0,1601,56.4958,,S
694,0,0,2672,7.225,,C
695,0,0,113800,26.55,,S
697,0,0,363592,8.05,,S
698,0,0,35852,7.7333,,Q
699,1,1,17421,110.8833,C68,C
701,1,0,PC 17757,227.525,C62 C64,C
702,0,0,PC 17475,26.2875,E24,S
704,0,0,36864,7.7417,,Q
706,0,0,250655,26.0,,S
708,0,0,PC 17476,26.2875,E24,S
709,0,0,113781,151.55,,S
712,0,0,113028,26.55,C124,S
713,1,0,19996,52.0,C126,S
714,0,0,7545,9.4833,,S
715,0,0,250647,13.0,,S
716,0,0,348124,7.65,F G73,S
718,0,0,34218,10.5,E101,S
721,0,1,248727,33.0,,S
722,1,0,350048,7.0542,,S
723,0,0,12233,13.0,,S
724,0,0,250643,13.0,,S
726,0,0,315094,8.6625,,S
727,3,0,31027,21.0,,S
729,1,0,236853,26.0,,S
730,1,0,STON/O2. 3101271,7.925,,S
732,0,0,2699,18.7875,,C
733,0,0,239855,0.0,,S
734,0,0,28425,13.0,,S
735,0,0,233639,13.0,,S
736,0,0,54636,16.1,,S
739,0,0,349201,7.8958,,S
740,0,0,349218,7.8958,,S
741,0,0,16988,30.0,D45,S
742,1,0,19877,78.85,C46,S
743,2,2,PC 17608,262.375,B57 B59 B63 B66,C
744,1,0,376566,16.1,,S
745,0,0,STON/O 2. 3101288,7.925,,S
746,1,1,WE/P 5735,71.0,B22,S
747,1,1,C.A. 2673,20.25,,S
748,0,0,250648,13.0,,S
749,1,0,113773,53.1,D30,S
750,0,0,335097,7.75,,Q
753,0,0,345780,9.5,,S
754,0,0,349204,7.8958,,S
755,1,2,220845,65.0,,S
756,1,1,250649,14.5,,S
757,0,0,350042,7.7958,,S
760,0,0,110152,86.5,B77,S
761,0,0,358585,14.5,,S
762,0,0,SOTON/O2 3101272,7.125,,S
763,0,0,2663,7.2292,,C
764,1,2,113760,120.0,B96 B98,S
765,0,0,347074,7.775,,S
766,1,0,13502,77.9583,D11,S
767,0,0,112379,39.6,,C
768,0,0,364850,7.75,,Q
770,0,0,8471,8.3625,,S
771,0,0,345781,9.5,,S
772,0,0,350047,7.8542,,S
773,0,0,S.O./P.P. 3,10.5,E77,S
774,0,0,2674,7.225,,C
775,1,3,29105,23.0,,S
776,0,0,347078,7.75,,S
777,0,0,383121,7.75,F38,Q
780,0,1,24160,211.3375,B3,S
781,0,0,2687,7.2292,,C
782,1,0,17474,57.0,B20,S
783,0,0,113501,30.0,D6,S
785,0,0,SOTON/O.Q. 3101312,7.05,,S
786,0,0,374887,7.25,,S
787,0,0,3101265,7.4958,,S
788,4,1,382652,29.125,,Q
789,1,2,C.A. 2315,20.575,,S
791,0,0,12460,7.75,,Q
793,8,2,CA. 2343,69.55,,S
794,0,0,PC 17600,30.6958,,C
796,0,0,28213,13.0,,S
797,0,0,17465,25.9292,D17,S
798,0,0,349244,8.6833,,S
799,0,0,2685,7.2292,,C
800,1,1,345773,24.15,,S
803,1,2,113760,120.0,B96 B98,S
805,0,0,347089,6.975,,S
807,0,0,112050,0.0,A36,S
809,0,0,248723,13.0,,S
810,1,0,113806,53.1,E8,S
811,0,0,3474,7.8875,,S
813,0,0,28206,10.5,,S
814,4,2,347082,31.275,,S
815,0,0,364499,8.05,,S
816,0,0,112058,0.0,B102,S
818,1,1,S.C./PARIS 2079,37.0042,,C
821,1,1,12749,93.5,B69,S
823,0,0,19972,0.0,,S
824,0,1,392096,12.475,E121,S
825,4,1,3101295,39.6875,,S
826,0,0,368323,6.95,,Q
827,0,0,1601,56.4958,,S
828,0,2,S.C./PARIS 2079,37.0042,,C
829,0,0,367228,7.75,,Q
830,0,0,113572,80.0,B28,
831,1,0,2659,14.4542,,C
832,1,1,29106,18.75,,S
834,0,0,347468,7.8542,,S
835,0,0,2223,8.3,,S
836,1,1,PC 17756,83.1583,E49,C
837,0,0,315097,8.6625,,S
838,0,0,392092,8.05,,S
840,0,0,11774,29.7,C47,C
841,0,0,SOTON/O2 3101287,7.925,,S
842,0,0,S.O./P.P. 3,10.5,,S
843,0,0,113798,31.0,,C
844,0,0,2683,6.4375,,C
846,0,0,C.A. 5547,7.55,,S
847,8,2,CA. 2343,69.55,,S
849,0,1,248727,33.0,,S
851,4,2,347082,31.275,,S
852,0,0,347060,7.775,,S
853,1,1,2678,15.2458,,C
854,0,1,PC 17592,39.4,D28,S
855,1,0,244252,26.0,,S
856,0,1,392091,9.35,,S
857,1,1,36928,164.8667,,S
858,0,0,113055,26.55,E17,S
859,0,3,2666,19.2583,,C
861,2,0,350026,14.1083,,S
862,1,0,28134,11.5,,S
863,0,0,17466,25.9292,D17,S
865,0,0,233866,13.0,,S
866,0,0,236852,13.0,,S
867,1,0,SC/PARIS 2149,13.8583,,C
868,0,0,PC 17590,50.4958,A24,S
869,0,0,345777,9.5,,S
870,1,1,347742,11.1333,,S
871,0,0,349248,7.8958,,S
872,1,1,11751,52.5542,D35,S
873,0,0,695,5.0,B51 B53 B55,S
874,0,0,345765,9.0,,S
875,1,0,P/PP 3381,24.0,,C
876,0,0,2667,7.225,,C
877,0,0,7534,9.8458,,S
878,0,0,349212,7.8958,,S
879,0,0,349217,7.8958,,S
880,0,1,11767,83.1583,C50,C
883,0,0,7552,10.5167,,S
884,0,0,C.A./SOTON 34068,10.5,,S
885,0,0,SOTON/OQ 392076,7.05,,S
886,0,5,382652,29.125,,Q
887,0,0,211536,13.0,,S
888,0,0,112053,30.0,B42,S
889,1,2,W./C. 6607,23.45,,S
890,0,0,111369,30.0,C148,C
891,0,0,370376,7.75,,Q
893,1,0,363272,7.0,,S
894,0,0,240276,9.6875,,Q
896,1,1,3101298,12.2875,,S
897,0,0,7538,9.225,,S
898,0,0,330972,7.6292,,Q
899,1,1,248738,29.0,,S
900,0,0,2657,7.2292,,C
901,2,0,A/4 48871,24.15,,S
902,0,0,349220,7.8958,,S
904,1,0,21228,82.2667,B45,S
905,1,0,24065,26.0,,S
906,1,0,W.E.P. 5734,61.175,E31,S
907,1,0,SC/PARIS 2167,27.7208,,C
908,0,0,233734,12.35,,Q
909,0,0,2692,7.225,,C
910,1,0,STON/O2. 3101270,7.925,,S
911,0,0,2696,7.225,,C
912,1,0,PC 17603,59.4,,C
913,0,1,C 17368,3.1708,,S
914,0,0,PC 17598,31.6833,,S
915,0,1,PC 17597,61.3792,,C
916,1,3,PC 17608,262.375,B57 B59 B63 B66,C
918,0,1,113509,61.9792,B36,C
919,0,0,2698,7.225,,C
921,2,0,2662,21.6792,,C
923,2,0,C.A. 31029,31.5,,S
924,1,2,C.A. 2315,20.575,,S
926,1,0,13236,57.75,C78,C
927,0,0,2682,7.2292,,C
928,0,0,342712,8.05,,S
929,0,0,315087,8.6625,,S
930,0,0,345768,9.5,,S
931,0,0,1601,56.4958,,S
933,0,0,113778,26.55,D34,S
934,0,0,SOTON/O.Q. 3101263,7.85,,S
935,0,0,237249,13.0,,S
